control_id,pillar,title,severity,description,evidence_kind,evidence_value,maps_to,overrides,references,remediation_hint
GDPR_Art_37,Chapter IV -- Controller and Processor,"Designation of the data protection officer (Art 37)",high,"The controller and the processor shall designate a data protection officer in any case where: (a) processing is carried out by a public authority or body (except courts in their judicial capacity); (b) core activities of the controller / processor consist of processing operations which, by virtue of their nature, scope and / or purposes, require regular and systematic monitoring of data subjects on a large scale; (c) core activities consist of processing on a large scale of special categories of data referred to in Art 9 and personal data relating to criminal convictions and offences referred to in Art 10. A group of undertakings may appoint a single DPO. The DPO shall be designated on the basis of professional qualities, in particular expert knowledge of data protection law and practices.",manual_questionnaire,evidence/04-art-37-dpo-designation-questionnaire.yaml,ISO_27001_A.5.2;ISO_42001_A.5.4,,"https://gdpr-info.eu/art-37-gdpr/","Apply the Art 37(1) decision tree; if DPO is required, designate, publish contact details and notify the supervisory authority."
GDPR_Art_38,Chapter IV -- Controller and Processor,"Position of the data protection officer (Art 38)",high,"The controller and processor shall ensure that the DPO is involved, properly and in a timely manner, in all issues which relate to the protection of personal data. The DPO shall be provided with the resources necessary to carry out the tasks. The DPO shall not be dismissed or penalised for performing the tasks; the DPO shall directly report to the highest management level. Data subjects may contact the DPO regarding all issues related to processing of their personal data. The DPO is bound by secrecy or confidentiality concerning the performance of the tasks.",context_doc,evidence/04-art-38-dpo-position.md,ISO_27001_A.5.2,,"https://gdpr-info.eu/art-38-gdpr/","Publish the DPO reporting line; embed DPO sign-off in change-management for personal-data systems."
GDPR_Art_39,Chapter IV -- Controller and Processor,"Tasks of the data protection officer (Art 39)",high,"The DPO shall have at least the following tasks: (a) to inform and advise the controller / processor and the employees of their obligations; (b) to monitor compliance with this Regulation, with other Union / Member State data protection provisions and with the policies of the controller / processor; (c) to provide advice where requested as regards the DPIA and monitor its performance; (d) to cooperate with the supervisory authority; (e) to act as the contact point for the supervisory authority. The DPO shall in the performance of his or her tasks have due regard to the risk associated with processing operations.",context_doc,evidence/04-art-39-dpo-tasks.md,,,,"https://gdpr-info.eu/art-39-gdpr/","Document the DPO's task plan; track monitoring activity volume as a leading indicator."
GDPR_Art_40,Chapter IV -- Controller and Processor,"Codes of conduct (Art 40) -- informational",low,"Member States, the supervisory authorities, the Board and the Commission shall encourage the drawing up of codes of conduct intended to contribute to the proper application of this Regulation, taking account of the specific features of the various processing sectors and the specific needs of micro, small and medium-sized enterprises. Associations and other bodies representing categories of controllers or processors may prepare codes of conduct. An approved code may also be adhered to by controllers / processors not subject to this Regulation pursuant to Art 3 in order to provide appropriate safeguards within the framework of personal data transfers to third countries or international organisations. Adherence to an approved code may be used to demonstrate compliance with Art 24 / 25 / 28 / 32 / 35 obligations.",context_doc,evidence/04-art-40-codes-of-conduct.md,,,,"https://gdpr-info.eu/art-40-gdpr/","Where industry codes of conduct exist for the workload's sector, evaluate adherence as a demonstrate-compliance lever."
GDPR_Art_42,Chapter IV -- Controller and Processor,"Certification (Art 42) -- informational",low,"Member States, the supervisory authorities, the Board and the Commission shall encourage the establishment of data protection certification mechanisms and of data protection seals and marks, for the purpose of demonstrating compliance with this Regulation. Certification shall be voluntary and available via a process that is transparent. Certification shall be issued for a maximum period of three years and may be renewed.",context_doc,evidence/04-art-42-certification.md,,,,"https://gdpr-info.eu/art-42-gdpr/","Where a recognised certification is available (e.g. EuroPriSe), assess the cost / benefit case; record the decision."
GDPR_Art_44,Chapter V -- Third-Country Transfers,"General principle for transfers (Art 44)",critical,"Any transfer of personal data which are undergoing processing or are intended for processing after transfer to a third country or to an international organisation shall take place only if, subject to the other provisions of this Regulation, the conditions laid down in Chapter V are complied with by the controller and processor, including for onward transfers of personal data from the third country or an international organisation to another third country or to another international organisation. All provisions in this Chapter shall be applied in order to ensure that the level of protection of natural persons guaranteed by this Regulation is not undermined.",context_doc,evidence/05-art-44-transfer-principle.md,ISO_27001_A.5.34;AI10P-DAT-01,,"https://gdpr-info.eu/art-44-gdpr/","Document every cross-border transfer; verify each transfer rests on an Art 45 / 46 / 49 lawful basis."
GDPR_Art_45,Chapter V -- Third-Country Transfers,"Transfers on the basis of an adequacy decision (Art 45)",critical,"A transfer of personal data to a third country or an international organisation may take place where the Commission has decided that the third country, a territory or one or more specified sectors within that third country, or the international organisation in question ensures an adequate level of protection. Such a transfer shall not require any specific authorisation. The Commission shall monitor on an ongoing basis developments in third countries and international organisations that could affect the adequacy decision; the Commission shall, on an ongoing basis, review the decisions adopted at least every four years.",context_doc,evidence/05-art-45-adequacy-decisions.md,,,,"https://gdpr-info.eu/art-45-gdpr/","Identify which transfers benefit from an adequacy decision; monitor for adequacy-decision changes (Schrems precedent)."
GDPR_Art_46,Chapter V -- Third-Country Transfers,"Transfers subject to appropriate safeguards (Art 46)",critical,"In the absence of an adequacy decision the controller or processor may transfer personal data to a third country or international organisation only if it has provided appropriate safeguards and on condition that enforceable data subject rights and effective legal remedies are available. The appropriate safeguards may be provided by: (a) a legally binding and enforceable instrument between public authorities; (b) binding corporate rules (Art 47); (c) standard data protection clauses adopted by the Commission; (d) standard data protection clauses adopted by a supervisory authority and approved by the Commission; (e) an approved code of conduct (Art 40) together with binding and enforceable commitments of the recipient; (f) an approved certification mechanism (Art 42) together with binding and enforceable commitments of the recipient. With supervisory-authority authorisation: (a) contractual clauses between the controller / processor and the recipient; (b) provisions inserted into administrative arrangements between public authorities which include enforceable and effective data subject rights.",context_doc,evidence/05-art-46-appropriate-safeguards.md,ISO_27001_A.5.34,,"https://gdpr-info.eu/art-46-gdpr/","For each non-adequacy transfer, identify the chosen safeguard (typically SCCs 2021/914); execute the contract; document the transfer-impact assessment (TIA)."
GDPR_Art_47,Chapter V -- Third-Country Transfers,"Binding corporate rules (Art 47)",critical,"The competent supervisory authority shall approve binding corporate rules (BCRs) provided that they: (a) are legally binding and apply to and are enforced by every member concerned of the group of undertakings, including their employees; (b) expressly confer enforceable rights on data subjects with regard to processing of their personal data; (c) fulfil the requirements laid down in paragraph 2. BCRs must specify: structure and contact details of the group; data transfers including categories and purposes; legally binding nature internally and externally; application of the general data protection principles; the rights of data subjects in regard to processing and the means to exercise those rights; acceptance by the controller / processor established on the territory of a Member State of liability for any breaches; how the information on the binding corporate rules is provided to the data subjects; the tasks of any data protection officer; the complaint procedures; the mechanisms within the group for ensuring the verification of compliance; the cooperation mechanisms with the supervisory authority; the reporting to the competent supervisory authority of any changes to the rules; the data protection training to personnel.",context_doc,evidence/05-art-47-bcr.md,,,,"https://gdpr-info.eu/art-47-gdpr/","Adopt BCRs where the group structure justifies the cost and the safeguard set fits the transfer matrix; engage the lead supervisory authority early."
GDPR_Art_48,Chapter V -- Third-Country Transfers,"Transfers or disclosures not authorised by Union law (Art 48)",critical,"Any judgment of a court or tribunal and any decision of an administrative authority of a third country requiring a controller or processor to transfer or disclose personal data may only be recognised or enforceable in any manner if based on an international agreement, such as a mutual legal assistance treaty, in force between the requesting third country and the Union or a Member State, without prejudice to other grounds for transfer pursuant to this Chapter.",context_doc,evidence/05-art-48-foreign-orders.md,,,,"https://gdpr-info.eu/art-48-gdpr/","Document the response posture to foreign disclosure orders (US CLOUD Act, third-country subpoenas); route via legal."
GDPR_Art_49,Chapter V -- Third-Country Transfers,"Derogations for specific situations (Art 49)",critical,"In the absence of an adequacy decision or appropriate safeguards (Art 46), including BCRs, a transfer or a set of transfers of personal data to a third country or international organisation shall take place only on one of the following conditions: (a) explicit consent of the data subject after having been informed of the possible risks; (b) necessary for the performance of a contract between the data subject and the controller; (c) necessary for the conclusion or performance of a contract concluded in the interest of the data subject; (d) necessary for important reasons of public interest; (e) necessary for the establishment, exercise or defence of legal claims; (f) necessary in order to protect the vital interests of the data subject or of other persons; (g) made from a register which according to Union / Member State law is intended to provide information to the public. Where a transfer could not be based on (a) to (g), it may take place only if it is not repetitive, concerns a limited number of data subjects, is necessary for compelling legitimate interests, and the controller has assessed all the circumstances surrounding the data transfer and provided suitable safeguards.",context_doc,evidence/05-art-49-derogations.md,,,,"https://gdpr-info.eu/art-49-gdpr/","Use Art 49 derogations as a narrow last-resort path; document each invocation in the transfer register; never rely on derogations as a structural safeguard."
